rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
365,6700,Technology,John Tu,81.0,United States,Rolling Hills,Computer hardware,Technology,United States,Kingston Technology Corporation,True,U,M,8/12/1941 0:00,Tu,John,President,10/10/2023,California,West,1942.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Food & Beverage,Xu Shihui,65.0,China,Quanzhou,"Snacks, beverages",Food & Beverage,China,,True,D,M,1/1/1958 0:00,Xu,Shihui,,16/09/2023,,,1958.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
383,6600,Manufacturing,Rahel Blocher,47.0,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,,False,D,F,1/1/1976 0:00,Blocher,Rahel,,26/08/2023,,,1976.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
383,6600,Food & Beverage,Bubba Cathy,68.0,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,,False,U,M,4/22/1954 0:00,Cathy,Bubba,,04/03/2023,Georgia,South,1955.0,4.0,22.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Food & Beverage,Dan Cathy,70.0,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,,False,U,M,3/1/1953 0:00,Cathy,Dan,,13/02/2023,Georgia,South,1953.0,3.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Food & Beverage,Trudy Cathy White,67.0,United States,Hampton,Chick-fil-A,Food & Beverage,United States,,False,U,F,12/17/1955 0:00,Cathy White,Trudy,,17/08/2023,Georgia,South,1956.0,12.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Finance & Investments,Bruce Kovner,78.0,United States,New York,Hedge funds,Finance & Investments,United States,Caxton Associates LP,True,U,M,2/25/1945 0:00,Kovner,Bruce,Founder,01/02/2023,New York,Northeast,1945.0,2.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Technology,"Henry Nicholas, III.",63.0,United States,Newport Coast,Semiconductors,Technology,United States,Broadcom,True,U,M,10/8/1959 0:00,Nicholas,Henry,Cofounder,10/07/2023,California,West,1960.0,10.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Finance & Investments,Nadia Thiele,47.0,Germany,Munich,Investments,Finance & Investments,Germany,,False,U,F,1/7/1976 0:00,Thiele,Nadia,,12/09/2023,,,1976.0,1.0,7.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
390,6500,Finance & Investments,David Bonderman,80.0,United States,Fort Worth,Private equity,Finance & Investments,United States,,True,U,M,11/27/1942 0:00,Bonderman,David,,10/07/2023,Texas,South,1943.0,11.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
390,6500,Technology,Melinda French Gates,58.0,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,False,U,F,8/15/1964 0:00,French Gates,Melinda,Cochair,15/07/2023,Washington,West,1965.0,8.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
390,6500,Fashion & Retail,Nathan Kirsh,91.0,Eswatini (Swaziland),Ezulwini,"Retail, real estate",Fashion & Retail,Eswatini (Swaziland),,True,U,M,1/6/1932 0:00,Kirsh,Nathan,,10/03/2023,,,1932.0,1.0,6.0,,,,,,,,,,,
390,6500,Real Estate,Annette Lerner & family,93.0,United States,Chevy Chase,Real estate,Real Estate,United States,,False,N,F,2/27/1930 0:00,Lerner,Annette,,21/08/2023,Maryland,South,1930.0,2.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
390,6500,Real Estate,David Reuben,84.0,United Kingdom,London,"Investments, real estate",Real Estate,United Kingdom,,True,D,M,9/1/1938 0:00,Reuben,David,,23/05/2023,,,1939.0,9.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
390,6500,Diversified,Simon Reuben,81.0,Monaco,Monaco,"Real estate, investments",Diversified,United Kingdom,,True,D,M,5/1/1941 0:00,Reuben,Simon,,01/06/2023,,,1942.0,5.0,1.0,,,"$7,184,844,193 ",,,,,,38964.0,43.7384176,7.4246158
390,6500,Real Estate,Radovan Vitek,51.0,Switzerland,Crans Montana,Real estate,Real Estate,Czech Republic,,True,U,M,4/22/1971 0:00,Vitek,Radovan,,22/03/2023,,,1972.0,4.0,22.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
397,6400,Finance & Investments,Carl Bennet,71.0,Sweden,Gothenberg,Investments,Finance & Investments,Sweden,,True,D,M,8/19/1951 0:00,Bennet,Carl,,03/04/2023,,,1952.0,8.0,19.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
397,6400,Sports,Stephen Bisciotti,62.0,United States,Hobe Sound,"Staffing, Baltimore Ravens",Sports,United States,Baltimore Ravens,True,U,M,4/10/1960 0:00,Bisciotti,Stephen,Owner,28/01/2023,Florida,South,1961.0,4.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
397,6400,Finance & Investments,Stanley Druckenmiller,69.0,United States,New York,Hedge funds,Finance & Investments,United States,Duquesne Family Office,True,D,M,6/14/1953 0:00,Druckenmiller,Stanley,Founder,03/07/2023,New York,Northeast,1954.0,6.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
397,6400,Healthcare,Jian Jun,59.0,China,Beijing,Biomedical products,Healthcare,China,,True,U,F,11/1/1963 0:00,Jian,Jun,,20/05/2023,,,1964.0,11.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
397,6400,Energy,Alexei Kuzmichev,60.0,France,Paris,"Oil, banking, telecom",Energy,Russia,,True,U,M,10/15/1962 0:00,Kuzmichev,Alexei,,07/05/2023,,,1963.0,10.0,15.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
397,6400,Manufacturing,Dmitry Rybolovlev & family,56.0,Monaco,Monaco,Fertilizer,Manufacturing,Russia,,True,D,M,11/22/1966 0:00,Rybolovlev,Dmitry,,10/02/2023,,,1967.0,11.0,22.0,,,"$7,184,844,193 ",,,,,,38964.0,43.7384176,7.4246158
397,6400,Finance & Investments,Luis Carlos Sarmiento,90.0,Colombia,Bogota,Banking,Finance & Investments,Colombia,,True,D,M,1/27/1933 0:00,Sarmiento,Luis Carlos,,31/08/2023,,,1933.0,1.0,27.0,140.95,3.5,"$323,802,808,108 ",55.3,114.5,77.1,14.4,71.2,50339443.0,4.570868,-74.297333
397,6400,Logistics,Dennis Washington,88.0,United States,Missoula,"Construction, mining",Logistics,United States,,True,D,M,7/27/1934 0:00,Washington,Dennis,,17/07/2023,Montana,West,1935.0,7.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
405,6300,Construction & Engineering,Anthony Bamford & family,77.0,United Kingdom,Gloucestershire,Construction equipment,Construction & Engineering,United Kingdom,,False,U,M,10/23/1945 0:00,Bamford,Anthony,,09/03/2023,,,1946.0,10.0,23.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
405,6300,Energy,Gao Jifan & family,58.0,China,Changzhou,Solar equipment,Energy,China,,True,D,M,1/1/1965 0:00,Gao,Jifan,,08/07/2023,,,1965.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
405,6300,Finance & Investments,John Grayken,66.0,United Kingdom,London,Private equity,Finance & Investments,Ireland,,True,D,M,6/1/1956 0:00,Grayken,John,Investor,22/05/2023,,,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
405,6300,Healthcare,Alain Merieux & family,85.0,France,Lyon,Pharmaceuticals,Healthcare,France,,False,D,M,1/1/1938 0:00,Merieux,Alain,,26/08/2023,,,1938.0,1.0,1.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
405,6300,Energy,Wang Yusuo & family,59.0,China,Langfang,Natural gas distribution,Energy,China,,True,U,M,3/11/1964 0:00,Wang,Yusuo,,02/07/2023,,,1964.0,3.0,11.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
405,6300,Manufacturing,Stef Wertheimer & family,96.0,Israel,Tel Aviv,Metalworking tools,Manufacturing,Israel,,True,U,M,7/16/1926 0:00,Wertheimer,Stef,,14/05/2023,,,1927.0,7.0,16.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
411,6200,Food & Beverage,Maria Asuncion Aramburuzabala & family,59.0,Mexico,Mexico City,"Beer, investments",Food & Beverage,Mexico,,False,E,F,5/2/1963 0:00,Aramburuzabala,Maria Asuncion,,22/01/2023,,,1964.0,5.0,2.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
411,6200,Diversified,Gustaf Douglas,85.0,Sweden,Stockholm,Investments,Diversified,Sweden,,True,D,M,3/3/1938 0:00,Douglas,Gustaf,,12/10/2023,,,1938.0,3.0,3.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
411,6200,Service,Frits Goldschmeding,89.0,Netherlands,Amsterdam,Temp agency,Service,Netherlands,,True,U,M,8/2/1933 0:00,Goldschmeding,Frits,,10/05/2023,,,1934.0,8.0,2.0,115.91,2.6,"$909,070,395,161 ",85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266
411,6200,Food & Beverage,Lin Muqin & family,59.0,China,Shenzhen,Beverages,Food & Beverage,China,,True,U,M,1/1/1964 0:00,Lin,Muqin,,12/07/2023,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
411,6200,Manufacturing,Ruan Liping,59.0,China,Ningbo,Power strips,Manufacturing,Hong Kong,,True,U,M,1/1/1964 0:00,Ruan,Liping,,09/05/2023,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
411,6200,Manufacturing,Ruan Xueping,51.0,China,Ningbo,Power strip,Manufacturing,Hong Kong,,True,U,M,1/1/1972 0:00,Ruan,Xueping,,27/03/2023,,,1972.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
411,6200,Finance & Investments,Michal Solowow,60.0,Poland,Kielce,Investments,Finance & Investments,Poland,,True,E,M,7/11/1962 0:00,Solowow,Michal,,16/10/2023,,,1963.0,7.0,11.0,114.11,2.2,"$592,164,400,688 ",67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136
418,6100,Diversified,Mike Adenuga,69.0,Nigeria,Lagos,"Telecom, oil",Diversified,Nigeria,,True,D,M,4/29/1953 0:00,Adenuga,Mike,,07/04/2023,,,1954.0,4.0,29.0,267.51,11.4,"$448,120,428,859 ",10.2,84.7,54.3,1.5,34.8,200963599.0,9.081999,8.675277
418,6100,Finance & Investments,Tom Gores,58.0,United States,Beverly Hills,Private equity,Finance & Investments,United States,,True,U,M,7/31/1964 0:00,Gores,Tom,,04/01/2023,California,West,1965.0,7.0,31.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
418,6100,Fashion & Retail,Michael Herz,79.0,Germany,Hamburg,Coffee,Fashion & Retail,Germany,,False,U,M,9/28/1943 0:00,Herz,Michael,,13/06/2023,,,1944.0,9.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
418,6100,Fashion & Retail,Wolfgang Herz,72.0,Germany,Hamburg,Coffee,Fashion & Retail,Germany,,False,U,M,1/1/1951 0:00,Herz,Wolfgang,,01/10/2023,,,1951.0,1.0,1.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
418,6100,Energy,Michael Kadoorie,81.0,Hong Kong,Hong Kong,"Hotels, energy",Energy,Hong Kong,,False,D,M,7/19/1941 0:00,Kadoorie,Michael,,16/07/2023,,,1942.0,7.0,19.0,,,,,,,,,,,
418,6100,Telecom,Sunil Mittal,65.0,,,Telecom,Telecom,India,,True,Split Family Fortune,M,10/23/1957 0:00,Mittal,Sunil,,11/06/2023,,,1958.0,10.0,23.0,,,,,,,,,,,
418,6100,Technology,Zhou Qunfei,53.0,Hong Kong,Hong Kong,Smartphone screens,Technology,Hong Kong,Lens Technology,True,D,F,,Zhou,Qunfei,Founder and CEO,14/08/2023,,,,,,,,,,,,,,,,
425,6000,Metals & Mining,Alexander Abramov,64.0,Russia,Moscow,"Steel, mining",Metals & Mining,Russia,,True,U,M,2/20/1959 0:00,Abramov,Alexander,,07/03/2023,,,1959.0,2.0,20.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
425,6000,Real Estate,Rene Benko,46.0,Austria,,"Real estate, retail",Real Estate,Austria,,True,U,M,3/20/1977 0:00,Benko,Rene,,15/08/2023,,,1977.0,3.0,20.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
425,6000,Real Estate,Neil Bluhm,85.0,United States,Chicago,Real estate,Real Estate,United States,,True,U,M,1/12/1938 0:00,Bluhm,Neil,,29/06/2023,Illinois,Midwest,1938.0,1.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
425,6000,Fashion & Retail,Alain Bouchard,74.0,Canada,Montreal,Convinience stores,Fashion & Retail,Canada,Alimentation Couche Tard Inc. Cl A,True,U,M,2/18/1949 0:00,Bouchard,Alain,Chairman and CEO,06/03/2023,,,1949.0,2.0,18.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
425,6000,Technology,Jay Chaudhry,63.0,United States,Reno,Security software,Technology,United States,,True,D,M,8/26/1959 0:00,Chaudhry,Jay,,11/04/2023,Nevada,West,1960.0,8.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
425,6000,Fashion & Retail,Gopikishan Damani,65.0,India,Mumbai,"Retail, investments",Fashion & Retail,India,,True,D,M,1/1/1958 0:00,Damani,Gopikishan,,18/03/2023,,,1958.0,1.0,1.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
425,6000,Diversified,Sumet Jiaravanon,88.0,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,U,M,11/2/1934 0:00,Jiaravanon,Sumet,,26/09/2023,,,1935.0,11.0,2.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
425,6000,Finance & Investments,Joe Lewis,86.0,Bahamas,Albany,Investments,Finance & Investments,United Kingdom,,True,U,M,2/5/1937 0:00,Lewis,Joe,,28/06/2023,,,1937.0,2.0,5.0,,,,,,,,,,,
425,6000,Finance & Investments,Frank Lowy,92.0,Israel,Tel Aviv,Investments,Finance & Investments,Australia,,True,D,M,10/22/1930 0:00,Lowy,Frank,,06/10/2023,,,1931.0,10.0,22.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
425,6000,Finance & Investments,Michael Milken,76.0,United States,Los Angeles,Investments,Finance & Investments,United States,,True,U,M,7/4/1946 0:00,Milken,Michael,,25/06/2023,California,West,1947.0,7.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
425,6000,Technology,David Steward,71.0,United States,St. Louis,IT provider,Technology,United States,,True,U,M,7/2/1951 0:00,Steward,David,,20/03/2023,Missouri,Midwest,1952.0,7.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
425,6000,Fashion & Retail,Les Wexner & family,85.0,United States,New Albany,Retail,Fashion & Retail,United States,,True,U,M,9/8/1937 0:00,Wexner,Les,,20/03/2023,Ohio,Midwest,1938.0,9.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
437,5900,Real Estate,Cai Kui,60.0,China,Chengdu,Real estate,Real Estate,China,,True,D,M,1/1/1963 0:00,Cai,Kui,,07/07/2023,,,1963.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
437,5900,Diversified,Jaran Chiaravanont,93.0,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,U,M,4/1/1930 0:00,Chiaravanont,Jaran,,23/08/2023,,,1930.0,4.0,1.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
437,5900,Finance & Investments,Andreas Halvorsen,61.0,United States,Darien,Hedge funds,Finance & Investments,Norway,Viking Global Investors,True,D,M,4/23/1961 0:00,Halvorsen,Andreas,Investor,25/02/2023,Connecticut,Northeast,1962.0,4.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
437,5900,Finance & Investments,Antony Ressler,62.0,United States,Los Angeles,Finance,Finance & Investments,United States,,True,U,M,10/12/1960 0:00,Ressler,Antony,,29/09/2023,California,West,1961.0,10.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
437,5900,Food & Beverage,Tsai Eng-meng,66.0,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,,False,D,M,1/15/1957 0:00,Tsai,Eng-meng,,23/02/2023,,,1957.0,1.0,15.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
442,5800,Finance & Investments,Josh Harris,58.0,United States,Miami,Private equity,Finance & Investments,United States,,True,E,M,12/29/1964 0:00,Harris,Josh,,27/05/2023,Florida,South,1965.0,12.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
442,5800,Healthcare,Niels Peter Louis-Hansen,75.0,Denmark,Humlebaek,Medical devices,Healthcare,Denmark,,False,D,M,10/25/1947 0:00,Louis-Hansen,Niels Peter,,31/01/2023,,,1948.0,10.0,25.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
442,5800,Healthcare,Patrick Soon-Shiong,70.0,United States,Los Angeles,Pharmaceuticals,Healthcare,United States,,True,D,M,7/29/1952 0:00,Soon-Shiong,Patrick,,02/04/2023,California,West,1953.0,7.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
445,5700,Metals & Mining,Rinat Akhmetov,56.0,Ukraine,Donetsk,"Steel, coal",Metals & Mining,Ukraine,,True,U,M,9/21/1966 0:00,Akhmetov,Rinat,,08/08/2023,,,1967.0,9.0,21.0,281.66,7.9,"$153,781,069,118 ",82.7,99.0,71.6,20.1,45.2,44385155.0,48.379433,31.16558
445,5700,Healthcare,John Brown,88.0,United States,Atlanta,Medical equipment,Healthcare,United States,,True,U,M,9/15/1934 0:00,Brown,John,,26/09/2023,Georgia,South,1935.0,9.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
445,5700,Media & Entertainment,Clive Calder,76.0,Cayman Islands,Grand Cayman,Record label,Media & Entertainment,United Kingdom,,True,E,M,12/13/1946 0:00,Calder,Clive,,23/07/2023,,,1947.0,12.0,13.0,,,,,,,,,,,
445,5700,Energy,Arthur Irving,93.0,Canada,Saint John,Oil,Energy,Canada,,False,U,M,1/1/1930 0:00,Irving,Arthur,,11/02/2023,,,1930.0,1.0,1.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
445,5700,Real Estate,Fredrik Lundberg,71.0,Sweden,Stockholm,"Real estate, investments",Real Estate,Sweden,,False,D,M,8/5/1951 0:00,Lundberg,Fredrik,,05/01/2023,,,1952.0,8.0,5.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
445,5700,Construction & Engineering,Thomas Schmidheiny,77.0,Switzerland,Jona,Cement,Construction & Engineering,Switzerland,,False,U,M,12/17/1945 0:00,Schmidheiny,Thomas,,01/04/2023,,,1946.0,12.0,17.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
445,5700,Logistics,Helmut Sohmen,83.0,Hong Kong,Hong Kong,Shipping,Logistics,Austria,,False,U,M,12/10/1939 0:00,Sohmen,Helmut,,21/07/2023 22:08,,,1940.0,12.0,10.0,,,,,,,,,,,
445,5700,Finance & Investments,Daniel Ziff,51.0,United States,New York,Investments,Finance & Investments,United States,,False,U,M,11/2/1971 0:00,Ziff,Daniel,,15/10/2023,New York,Northeast,1972.0,11.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
445,5700,Finance & Investments,Dirk Ziff,59.0,United States,North Palm Beach,Investments,Finance & Investments,United States,,False,U,M,4/1/1964 0:00,Ziff,Dirk,,16/10/2023,Florida,South,1964.0,4.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
445,5700,Finance & Investments,Robert Ziff,56.0,United States,New York,Investments,Finance & Investments,United States,,False,U,M,8/12/1966 0:00,Ziff,Robert,,24/05/2023,New York,Northeast,1967.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
455,5600,Logistics,Maria Angelicoussis,41.0,Greece,,Shipping,Logistics,Greece,,False,N,F,2/18/1982 0:00,Angelicoussis,Maria,,22/09/2023,,,1982.0,2.0,18.0,101.87,0.2,"$209,852,761,469 ",136.6,99.6,81.3,26.2,51.9,10716322.0,39.074208,21.824312
455,5600,Energy,Ray Lee Hunt,79.0,United States,Dallas,"Oil, real estate",Energy,United States,,False,D,M,4/6/1943 0:00,Hunt,Ray Lee,,18/10/2023,Texas,South,1944.0,4.0,6.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
455,5600,Logistics,Lai Meisong,52.0,China,Shanghai,Package delivery,Logistics,China,,True,U,M,12/1/1970 0:00,Lai,Meisong,,01/05/2023,,,1971.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
455,5600,Automotive,Vikram Lal & family,81.0,India,Delhi,Motorcycles,Automotive,India,,False,U,M,3/5/1942 0:00,Lal,Vikram,,23/02/2023,,,1942.0,3.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
455,5600,Finance & Investments,Ken Langone,87.0,United States,Sands Point,Investments,Finance & Investments,United States,,True,D,M,9/16/1935 0:00,Langone,Ken,,08/08/2023,New York,Northeast,1936.0,9.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
455,5600,Healthcare,Li Ge,56.0,China,Shanghai,Pharmaceutical ingredients,Healthcare,United States,,True,Split Family Fortune,M,1/1/1967 0:00,Li,Ge,,24/05/2023,,,1967.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
455,5600,Finance & Investments,Karen Pritzker,65.0,United States,Branford,"Hotels, investments",Finance & Investments,United States,,False,D,F,1/7/1958 0:00,Pritzker,Karen,,12/08/2023,Connecticut,Northeast,1958.0,1.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
455,5600,Service,Robert Rowling,69.0,United States,Dallas,"Hotels, investments",Service,United States,,False,U,M,9/26/1953 0:00,Rowling,Robert,,22/05/2023,Texas,South,1954.0,9.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
455,5600,Gambling & Casinos,Teddy Sagi,51.0,Israel,Tel Aviv,Gambling software,Gambling & Casinos,Israel,,True,E,M,11/1/1971 0:00,Sagi,Teddy,,19/02/2023,,,1972.0,11.0,1.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
455,5600,Healthcare,Seo Jung-jin,65.0,South Korea,Seoul,Biotech,Healthcare,South Korea,Celltrion Inc.,True,D,M,10/23/1957 0:00,Seo,Jung-jin,,09/05/2023,,,1958.0,10.0,23.0,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
455,5600,Automotive,Wu Jianshu,59.0,China,Ningbo,Auto parts,Automotive,Hong Kong,,True,D,M,1/1/1964 0:00,Wu,Jianshu,,30/06/2023,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
466,5500,Service,Micky Arison,73.0,United States,Bal Harbour,Carnival Cruises,Service,United States,Carnival Corp.,False,D,M,6/29/1949 0:00,Arison,Micky,Chairman and CEO,21/04/2023,Florida,South,1950.0,6.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
